Video ID	Title	Practice ID	Practice Name	Level 1	Level 2	Level 3	Level 4	Level 5
10000000000113	 'Vermicompost enrichment '	10000000000001	 'KK - Low cost Vermicompost'	Nutrient Management	Compost Enrichment			Vermicompost
10000000000056	 'Low cost Vermicompost'	10000000000001	 'KK - Low cost Vermicompost'	Nutrient Management	Compost Preparation			Vermicompost
10000000000080	 'Cabbage harvesting'	10000000000002	 'Harvesting'	Harvesting				Cabbage (Patta Gobhi)
10000000019438	 'Harvesting of soyabean'	10000000000002	 'Harvesting'	Harvesting				Soybean
10000000019440	 'Harvesting through repar machine'	10000000000002	 'Harvesting'	Harvesting			Mechanical	
10000000019442	 'Threshing of Jwar'	10000000000002	 'Harvesting'	Post Harvest Management	Threshing			Maize
10000000019460	 'Harvesting of Soyabean '	10000000000002	 'Harvesting'	Harvesting				Soybean
10000000019465	 'Harvesting of Grain '	10000000000002	 'Harvesting'	Harvesting				Grains
10000000000081	 'Yield of lal bhaji (amaranthus) and palak (spinach)'	10000000000002	 'Harvesting'	Harvesting				Spinach
10000000019536	 'Sugarcane harvesting'	10000000000002	 'Harvesting'	Harvesting				Sugarcane
10000000019564	 'Precautions at the Time of Plucking of Mung Bean in the Field'	10000000000002	 'Harvesting'	Harvesting		Precautions		Green Gram
10000000019566	 'Precautions at the Time of Harvesting of Soybean'	10000000000002	 'Harvesting'	Harvesting		Precautions		Soybean
10000000000016	 'Green-Pea Sowing'	10000000000003	 'Potato sowing_jiblong'	Seed Sowing				Green Pea
10000000000026	 'Tomato Sowing'	10000000000003	 'Potato sowing_jiblong'	Seed Sowing				Tomato
10000000000034	 'Tomato Sowing'	10000000000003	 'Potato sowing_jiblong'	Seed Sowing				Tomato
10000000000035	 'Gram sowing'	10000000000003	 'Potato sowing_jiblong'	Seed Sowing				Gram
10000000000039	 'Line sowing of Arhar'	10000000000003	 'Potato sowing_jiblong'	Seed Sowing				Red Gram
10000000000086	 'Sowing of Radish'	10000000000003	 'Potato sowing_jiblong'	Seed Sowing				Radish
10000000000134	 'Beans sowing'	10000000000003	 'Potato sowing_jiblong'	Seed Sowing				Bean
